Season,Player,Year,Team,Cap Hit
2015-16,Corey Perry,2015,ANA,8625000
2015-16,Ryan Getzlaf,2015,ANA,8250000
2015-16,Ryan Kesler,2015,ANA,5000000
2015-16,Kevin Bieksa,2015,ANA,4600000
2015-16,Cam Fowler,2015,ANA,4000000
2015-16,David Perron,2015,ANA,3812500
2015-16,Jakob Silfverberg,2015,ANA,3750000
2015-16,Clayton Stoner,2015,ANA,3250000
2015-16,Andrew Cogliano,2015,ANA,3000000
2015-16,Jamie McGinn,2015,ANA,2950000
2015-16,Shawn Horcoff,2015,ANA,1750000
2015-16,Chris Stewart,2015,ANA,1700000
2015-16,Nate Thompson,2015,ANA,1600000
2015-16,Sami Vatanen,2015,ANA,1262500
2015-16,Frederik Andersen,2015,ANA,1150000
2015-16,Brandon Pirri,2015,ANA,925000
2015-16,Josh Manson,2015,ANA,925000
2015-16,Ryan Garbutt,2015,ANA,900000
2015-16,Simon Despres,2015,ANA,900000
2015-16,Hampus Lindholm,2015,ANA,894167
2015-16,Rickard Rakell,2015,ANA,894167
2015-16,Nicholas Ritchie,2015,ANA,894166
2015-16,Mike Santorelli,2015,ANA,875000
2015-16,Shea Theodore,2015,ANA,863333
2015-16,Korbinian Holzer,2015,ANA,750000
2015-16,John Gibson,2015,ANA,721666
2015-16,Chris Wagner,2015,ANA,600000
2015-16,Mike Smith,2015,ARI,5666667
2015-16,Oliver Ekman-Larsson,2015,ARI,5500000
2015-16,Shane Doan,2015,ARI,5300000
2015-16,Chris Pronger,2015,ARI,4941429
2015-16,Alex Goligoski,2015,ARI,4600000
2015-16,Antoine Vermette,2015,ARI,3750000
2015-16,Alex Tanguay,2015,ARI,3500000
2015-16,Nicklas Grossman,2015,ARI,3500000
2015-16,Zbynek Michalek,2015,ARI,3200000
2015-16,Martin Hanzal,2015,ARI,3100000
2015-16,Boyd Gordon,2015,ARI,3000000
2015-16,Brad Richardson,2015,ARI,2083333
2015-16,Michael Stone,2015,ARI,1150000
2015-16,Joe Vitale,2015,ARI,1116667
2015-16,Viktor Tikhonov,2015,ARI,1040000
2015-16,Jiri Sekac,2015,ARI,925000
2015-16,Sergei Plotnikov,2015,ARI,925000
2015-16,Anders Lindback,2015,ARI,875000
2015-16,Kyle Chipchura,2015,ARI,875000
2015-16,Connor Murphy,2015,ARI,863333
2015-16,Max Domi,2015,ARI,863333
2015-16,Tobias Rieder,2015,ARI,853333
2015-16,Jarred Tinordi,2015,ARI,850500
2015-16,Anthony Duclair,2015,ARI,772500
2015-16,Kevin Connauton,2015,ARI,683333
2015-16,Jordan Martinook,2015,ARI,612500
2015-16,Louis Domingue,2015,ARI,605000
2015-16,David Krejci,2015,BOS,7250000
2015-16,Tuukka Rask,2015,BOS,7000000
2015-16,Zdeno Chara,2015,BOS,6916667
2015-16,Patrice Bergeron,2015,BOS,6875000
2015-16,Brad Marchand,2015,BOS,4500000
2015-16,Loui Eriksson,2015,BOS,4250000
2015-16,Dennis Seidenberg,2015,BOS,4000000
2015-16,John-Michael Liles,2015,BOS,3875000
2015-16,Matt Beleskey,2015,BOS,3800000
2015-16,Torey Krug,2015,BOS,3400000
2015-16,Chris Kelly,2015,BOS,3000000
2015-16,Adam McQuaid,2015,BOS,2750000
2015-16,Jimmy Hayes,2015,BOS,2300000
2015-16,Brett Connolly,2015,BOS,1025000
2015-16,Ryan Spooner,2015,BOS,950000
2015-16,David Pastrnak,2015,BOS,925000
2015-16,Joe Morrow,2015,BOS,863333
2015-16,Lee Stempniak,2015,BOS,850000
2015-16,Kevan Miller,2015,BOS,800000
2015-16,Jonas Gustavsson,2015,BOS,700000
2015-16,Zach Trotman,2015,BOS,625000
2015-16,Landon Ferraro,2015,BOS,600000
2015-16,Tommy Cross,2015,BOS,600000
2015-16,Tyler Randell,2015,BOS,600000
2015-16,Ryan O'Reilly,2015,BUF,6000000
2015-16,Evander Kane,2015,BUF,5250000
2015-16,Zach Bogosian,2015,BUF,5142857
2015-16,Matt Moulson,2015,BUF,5000000
2015-16,Tyler Ennis,2015,BUF,4600000
2015-16,Brian Gionta,2015,BUF,4250000
2015-16,Josh Gorges,2015,BUF,3900000
2015-16,Cody Franson,2015,BUF,3325000
2015-16,David Legwand,2015,BUF,3000000
2015-16,Robin Lehner,2015,BUF,2225000
