Team,Year,GP,ROW,Ave.Salary,Salary.Variation,Gini,Gini2,RosterSize,ROW_prev_actual,Team Name
ANA,2015,82,43,2401574.04,2159087.15,0.4427,0.19598329,27,,Anaheim Ducks
ANA,2016,82,43,2826916.82,2298835.9,0.4316,0.18627856,28,43,Anaheim Ducks
ANA,2017,82,40,2674226.18,2241448.91,0.4318,0.18645124,28,43,Anaheim Ducks
ANA,2018,82,32,3163825.73,2452665.68,0.42,0.1764,22,40,Anaheim Ducks
ANA,2019,71,24,3259303.75,2438284.02,0.4144,0.17172736,24,32,Anaheim Ducks
ANA,2020,56,15,2994444.41,2384663.79,0.4304,0.18524416,27,24,Anaheim Ducks
ANA,2021,82,27,2005157.04,1860871.19,0.4389,0.19263321,26,15,Anaheim Ducks
ANA,2022,82,20,2122000,1855197.9,0.4327,0.18722929,30,27,Anaheim Ducks
ANA,2023,82,26,2489057.54,2217507.36,0.4525,0.20475625,28,20,Anaheim Ducks
ANA,2024,82,31,3094967,2453877.65,0.4289,0.18395521,25,26,Anaheim Ducks
ARI,2015,82,34,2264886.22,1731196.27,0.4086,0.16695396,27,,Arizona Coyotes
ARI,2016,82,24,2205835.54,1767147.94,0.4168,0.17372224,28,34,Arizona Coyotes
ARI,2017,82,27,2105277.67,1886998.32,0.447,0.199809,24,24,Arizona Coyotes
ARI,2018,82,35,2380287.31,1933145.67,0.4294,0.18438436,29,27,Arizona Coyotes
ARI,2019,70,28,3594651,2263330.66,0.3548,0.12588304,24,35,Arizona Coyotes
ARI,2020,56,21,2828649.41,2370974.53,0.4472,0.19998784,29,28,Arizona Coyotes
ARI,2021,82,24,2605080.82,2267641.26,0.4549,0.20693401,33,21,Arizona Coyotes
ARI,2022,82,25,2897550.61,2463564.27,0.4497,0.20223009,23,24,Arizona Coyotes
ARI,2023,82,34,2985676,2364045.03,0.4192,0.17572864,22,25,Arizona Coyotes
BOS,2015,82,38,2852291.67,2286487.71,0.4358,0.18992164,24,,Boston Bruins
BOS,2016,82,42,2658482.14,2318697.79,0.4567,0.20857489,28,38,Boston Bruins
BOS,2017,82,47,2989683.28,2635155.75,0.4659,0.21706281,25,42,Boston Bruins
BOS,2018,82,47,3086666.64,2407811.45,0.4279,0.18309841,25,47,Boston Bruins
BOS,2019,70,44,2958056.96,2248540.97,0.4113,0.16916769,25,47,Boston Bruins
BOS,2020,56,29,2675434.06,2336811.12,0.4573,0.20912329,34,44,Boston Bruins
BOS,2021,82,49,2823848.58,2039182.51,0.3992,0.15936064,31,29,Boston Bruins
BOS,2022,82,61,3574733.32,2299605.6,0.3593,0.12909649,25,49,Boston Bruins
BOS,2023,82,43,3040892.86,2721313.96,0.4578,0.20958084,28,61,Boston Bruins
BOS,2024,82,33,4030132,3256674.369,0.4451,0.19811401,19,43,Boston Bruins
BUF,2015,82,33,2306347.64,1765979.25,0.4092,0.16744464,25,,Buffalo Sabres
BUF,2016,82,31,2758427.23,2057393.75,0.4089,0.16719921,26,33,Buffalo Sabres
BUF,2017,82,24,2587479.3,2075378.51,0.4296,0.18455616,23,31,Buffalo Sabres
BUF,2018,82,28,3190584.41,2318066.94,0.3906,0.15256836,22,24,Buffalo Sabres
BUF,2019,69,28,3172200,2436311.9,0.4043,0.16345849,25,28,Buffalo Sabres
BUF,2020,56,11,2424826.1,2448330.28,0.4806,0.23097636,29,28,Buffalo Sabres
BUF,2021,82,29,2273222.2,2105250.37,0.4532,0.20539024,30,11,Buffalo Sabres
BUF,2022,82,39,2511018.52,2040183.76,0.4083,0.16670889,27,29,Buffalo Sabres
BUF,2023,82,37,3109720.43,2335254.38,0.4062,0.16499844,23,39,Buffalo Sabres
BUF,2024,82,32,3169409,2811172.853,0.4591,0.21077281,25,37,Buffalo Sabres
CAR,2015,82,33,2068939.32,2024000.16,0.4721,0.22287841,22,,Carolina Hurricanes
CAR,2016,82,33,2126856.05,1737246.69,0.4279,0.18309841,22,33,Carolina Hurricanes
CAR,2017,82,33,2497874.95,1770892.57,0.3894,0.15163236,20,33,Carolina Hurricanes
CAR,2018,82,44,2556268.09,1911632.16,0.4057,0.16459249,23,33,Carolina Hurricanes
CAR,2019,68,33,3590826.09,2028850.19,0.3178,0.10099684,23,44,Carolina Hurricanes
CAR,2020,56,32,2907293.15,2170866.08,0.4092,0.16744464,27,33,Carolina Hurricanes
CAR,2021,82,53,3572411.4,2294071.59,0.3606,0.13003236,25,32,Carolina Hurricanes
CAR,2022,82,48,3539330.26,2449380.49,0.389,0.151321,27,53,Carolina Hurricanes
CAR,2023,82,50,3533682.11,2659839.32,0.4178,0.17455684,27,48,Carolina Hurricanes
CAR,2024,82,47,3441485,2664050.267,0.4197,0.17614809,27,50,Carolina Hurricanes
CBJ,2015,82,28,2814948.22,2129180.85,0.4144,0.17172736,23,,Columbus Blue Jackets
CBJ,2016,82,48,2525504.9,2129864.15,0.4495,0.20205025,29,28,Columbus Blue Jackets
CBJ,2017,82,39,2643505.3,2040353.6,0.4209,0.17715681,27,48,Columbus Blue Jackets
CBJ,2018,82,45,2786111.1,2099263.69,0.4109,0.16883881,30,39,Columbus Blue Jackets
CBJ,2019,70,33,2495641.1,1896971.63,0.4092,0.16744464,31,45,Columbus Blue Jackets
CBJ,2020,56,15,2395566.97,1983488.67,0.4357,0.18983449,31,33,Columbus Blue Jackets
CBJ,2021,82,33,2357306.1,2087612.47,0.443,0.196249,29,15,Columbus Blue Jackets
CBJ,2022,82,24,2636666.64,2792183.75,0.5023,0.25230529,25,33,Columbus Blue Jackets
CBJ,2023,82,24,2913621.77,2895721.37,0.4938,0.24383844,26,24,Columbus Blue Jackets
CBJ,2024,82,34,2638782,2157052.027,0.4183,0.17497489,26,24,Columbus Blue Jackets
CGY,2015,82,33,2710037.86,1628922.47,0.3381,0.11431161,22,,Calgary Flames
CGY,2016,82,41,3012433.4,2054334.93,0.384,0.147456,25,33,Calgary Flames
CGY,2017,82,35,2806152.54,2143076.74,0.4224,0.17842176,26,41,Calgary Flames
CGY,2018,82,50,2860284.82,2212218.57,0.4243,0.18003049,28,35,Calgary Flames
CGY,2019,70,30,3163252.32,2247357.4,0.399,0.159201,25,50,Calgary Flames
CGY,2020,56,25,3019615.35,2453758.84,0.4396,0.19324816,26,30,Calgary Flames
CGY,2021,82,48,3190219.11,2210808.69,0.388,0.150544,27,25,Calgary Flames
CGY,2022,82,36,3514583.33,2045608.44,0.3302,0.10903204,24,48,Calgary Flames
CGY,2023,82,38,3166413.04,2715019.08,0.4541,0.20620681,23,36,Calgary Flames
CGY,2024,82,36,2545387,2378075.497,0.4574,0.20921476,28,38,Calgary Flames
CHI,2015,82,46,2898790.08,2956177.55,0.5111,0.26122321,24,,Chicago Blackhawks
CHI,2016,82,46,2826158.77,2957448.16,0.5165,0.26677225,26,46,Chicago Blackhawks
CHI,2017,82,32,3172013.41,3173234.66,0.5091,0.25918281,22,46,Chicago Blackhawks
CHI,2018,82,33,3135440.3,3024167.51,0.4895,0.23961025,23,32,Chicago Blackhawks
CHI,2019,70,28,2954510.89,2897755.38,0.4882,0.23833924,27,33,Chicago Blackhawks
CHI,2020,56,22,2437030.49,2575023.21,0.4833,0.23357889,37,28,Chicago Blackhawks
CHI,2021,82,22,3014062.5,2869146.43,0.4774,0.22791076,24,22,Chicago Blackhawks
CHI,2022,82,24,2480000,2596206.66,0.4842,0.23444964,25,22,Chicago Blackhawks
CHI,2023,82,22,2657651.5,2232513.28,0.4303,0.18515809,22,24,Chicago Blackhawks
CHI,2024,82,23,3005159,1937055.468,0.356,0.126736,24,22,Chicago Blackhawks
COL,2015,82,35,2489176.73,1834235.53,0.4039,0.16313521,26,,Colorado Avalanche
COL,2016,82,21,2554224.24,2154513.81,0.4479,0.20061441,25,35,Colorado Avalanche
COL,2017,82,41,2387520.52,2208076.54,0.4654,0.21659716,29,21,Colorado Avalanche
COL,2018,82,36,3106357.12,2187217.36,0.393,0.154449,25,41,Colorado Avalanche
COL,2019,70,41,2907106.19,2126495.08,0.3934,0.15476356,26,36,Colorado Avalanche
COL,2020,56,39,2718920.54,2168572.81,0.4266,0.18198756,35,41,Colorado Avalanche
COL,2021,82,52,3122172.61,2553172.55,0.4392,0.19289664,28,39,Colorado Avalanche
COL,2022,82,45,3336153.85,2603170.87,0.4249,0.18054001,26,52,Colorado Avalanche
COL,2023,82,48,3542000,3106338.04,0.4573,0.20912329,25,45,Colorado Avalanche
COL,2024,82,45,3899038,2948145.447,0.409,0.167281,26,48,Colorado Avalanche
DAL,2015,82,48,2590248.15,2049272.14,0.4251,0.18071001,27,,Dallas Stars
DAL,2016,82,33,2754639.83,2188562.34,0.4306,0.18541636,23,48,Dallas Stars
DAL,2017,82,38,3274393.95,2544256.99,0.4256,0.18113536,22,33,Dallas Stars
DAL,2018,82,42,2991810.34,2209755.02,0.3947,0.15578809,29,38,Dallas Stars
DAL,2019,69,35,3324652.79,2617765.5,0.4143,0.17164449,24,42,Dallas Stars
DAL,2020,56,21,2752096.74,2525534.15,0.4638,0.21511044,31,35,Dallas Stars
DAL,2021,82,41,3178240.74,2806300.99,0.4623,0.21372129,27,21,Dallas Stars
DAL,2022,82,43,3447300,2860656.76,0.4458,0.19873764,25,41,Dallas Stars
DAL,2023,82,48,3791159.43,3012632.13,0.4329,0.18740241,23,43,Dallas Stars
DAL,2024,82,48,4159931,3084401.483,0.4117,0.16949689,24,48,Dallas Stars
DET,2015,82,39,2791115.12,2033989.46,0.4043,0.16345849,25,,Detroit Red Wings
DET,2016,82,24,3016030.91,1976681.5,0.3672,0.13483584,23,39,Detroit Red Wings
DET,2017,82,25,3018009.64,1975153.19,0.3664,0.13424896,22,24,Detroit Red Wings
DET,2018,82,29,3258974.08,1778569.23,0.3107,0.09653449,24,25,Detroit Red Wings
DET,2019,71,14,2526480.25,1741367.16,0.3797,0.14417209,28,29,Detroit Red Wings
DET,2020,56,17,2511694.86,1771719.62,0.3841,0.14753281,28,14,Detroit Red Wings
DET,2021,82,29,2073247.14,1641273.03,0.411,0.168921,29,17,Detroit Red Wings
DET,2022,82,32,2147307.69,1707885.52,0.4106,0.16859236,26,29,Detroit Red Wings
DET,2023,82,38,3548787.86,2240915.98,0.353,0.124609,22,32,Detroit Red Wings
DET,2024,82,36,3408528,2705530.507,0.4342,0.18852964,26,38,Detroit Red Wings
EDM,2015,82,27,2314089.52,1819082.7,0.4155,0.17264025,27,,Edmonton Oilers
EDM,2016,82,43,2396499.93,1838161.73,0.4073,0.16589329,28,27,Edmonton Oilers
EDM,2017,82,31,2510029.78,2254238.89,0.4607,0.21224449,23,43,Edmonton Oilers
EDM,2018,82,32,3209561.57,2884699.56,0.4556,0.20757136,23,31,Edmonton Oilers
EDM,2019,71,35,2948932.04,2770503.37,0.4647,0.21594609,27,32,Edmonton Oilers
EDM,2020,56,35,2512652.31,2589557.83,0.4789,0.22934521,35,35,Edmonton Oilers
EDM,2021,82,44,3306466.32,2730371.69,0.4169,0.17380561,25,35,Edmonton Oilers
EDM,2022,82,50,3410166.64,3077210.58,0.4678,0.21883684,25,44,Edmonton Oilers
EDM,2023,82,47,3502083.33,3129943.31,0.4668,0.21790224,24,50,Edmonton Oilers
EDM,2024,82,48,3082417,2873996.611,0.4641,0.21538881,30,47,Edmonton Oilers
FLA,2015,82,40,2665790.78,1799223.79,0.3716,0.13808656,27,,Florida Panthers
FLA,2016,82,30,2585347.21,1795994.95,0.3839,0.14737921,24,40,Florida Panthers
FLA,2017,82,41,2767048.58,2110036.13,0.4176,0.17438976,24,30,Florida Panthers
FLA,2018,82,33,3041413.04,2156859.82,0.3952,0.15618304,23,41,Florida Panthers
FLA,2019,69,32,3223020.75,2574583.22,0.4344,0.18870336,24,33,Florida Panthers
FLA,2020,56,36,2296559.49,2305280.35,0.4781,0.22857961,35,32,Florida Panthers
FLA,2021,82,55,2977347.2,2569213.76,0.453,0.205209,30,36,Florida Panthers
FLA,2022,82,40,3230000.04,3090266.97,0.4941,0.24413481,25,55,Florida Panthers
FLA,2023,82,49,3283205.15,2964452.14,0.4652,0.21641104,26,40,Florida Panthers
FLA,2024,82,41,3852685,3283531.406,0.463,0.214369,27,49,Florida Panthers
LAK,2015,82,46,3055156.89,2069889.8,0.3845,0.14784025,28,,L.A Kings
LAK,2016,82,37,3310915.61,2463434.29,0.4091,0.16736281,23,46,L.A Kings
LAK,2017,82,43,2861481.5,2561375.55,0.4697,0.22061809,26,37,L.A Kings
LAK,2018,82,28,2975200.46,2725661.67,0.4798,0.23020804,24,43,L.A Kings
LAK,2019,70,28,2553608.82,2999349.05,0.5329,0.28398241,22,28,L.A Kings
LAK,2020,56,20,2036927,2560310.22,0.5007,0.25070049,32,28,L.A Kings
LAK,2021,82,40,2713556.93,2636183.68,0.4717,0.22250089,30,20,L.A Kings
LAK,2022,82,41,2892230.32,2915584.16,0.5002,0.25020004,25,40,L.A Kings
LAK,2023,82,42,3580253.65,3174855.54,0.4705,0.22137025,23,41,L.A Kings
LAK,2024,82,47,3230982,2751073.983,0.452,0.204304,28,42,L.A Kings
MIN,2015,82,35,2939778.08,2364541.23,0.4412,0.19465744,24,,Minnesota Wild
MIN,2016,82,46,2961010.28,2171273.41,0.4053,0.16426809,25,35,Minnesota Wild
MIN,2017,82,42,2652365.17,2278777.75,0.4577,0.20948929,29,46,Minnesota Wild
MIN,2018,82,36,2682734.19,2296407.4,0.4548,0.20684304,26,42,Minnesota Wild
MIN,2019,69,33,3450163.14,2161375.81,0.3563,0.12694969,22,36,Minnesota Wild
MIN,2020,56,34,3032777,2273909.1,0.4131,0.17065161,28,33,Minnesota Wild
MIN,2021,82,48,3323888.83,2545755.2,0.4211,0.17732521,24,34,Minnesota Wild
MIN,2022,82,39,2975956.78,2505185.17,0.4477,0.20043529,27,48,Minnesota Wild
MIN,2023,82,36,2839266.64,2458436.93,0.4519,0.20421361,25,39,Minnesota Wild
